EC 46.pdf timeline — 285 distinct documents
==================================================================================================================================
  #  DATE          DOC NO         NATURE                           SURVEY(S)                        EXTENT | CONSIDERATION
==================================================================================================================================
  1  01-Jul-1975   1710/1975      சுவாதீனத்துடன் கூடிய அடைமானம்    N/A                              N/A | ₹. 2,250/-
  2  21-May-1990   1561/1990      விற்பனை ஆவணம்/கிரைய ஆவணம்        N/A                              N/A | ₹. 3,000/-
  3  21-May-1990   1562/1990      விற்பனை ஆவணம்/கிரைய ஆவணம்        N/A                              N/A | ₹. 1,900/-
  4  31-Aug-2007   7074/2007      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              N/A | ₹. 1,31,700/-
  5  31-Aug-2007   7075/2007      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              N/A | ₹. 1,31,700/-
  6  06-Sep-2007   7176/2007      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              N/A | ₹. 2,63,400/-
  7  21-Feb-2008   1508/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              N/A | ₹. 24,000/-
  8  27-Feb-2008   1690/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1155சதுரடி | ₹. 26,400/-
  9  27-Feb-2008   1692/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 10  27-Feb-2008   1693/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 11  27-Feb-2008   1694/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 12  27-Feb-2008   1698/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 13  27-Feb-2008   1700/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 14  27-Feb-2008   1703/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 15  27-Feb-2008   1704/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 16  27-Feb-2008   1705/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 17  27-Feb-2008   1706/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 18  27-Feb-2008   1707/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 19  27-Feb-2008   1708/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 20  27-Feb-2008   1709/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 21  27-Feb-2008   1710/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 22  27-Feb-2008   1711/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 23  10-Apr-2008   3078/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 24  10-Apr-2008   3079/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 25  10-Apr-2008   3080/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
